Employee ID,First Name,Last Name,Date of Birth,Gender,Email,Contact Number,Address,Nationality,Employment Start Date,Department,Position,Salary,Work Schedule,Employee Type,Emergency Contact,Bank Account Details,Employee Benefits
397886,Michael,Martinez,1964-02-02,Male,xsmith@example.com,-7439,"3106 Sanchez Spurs Apt. 020
East Robert, OK 76104",Isle of Man,24/05/2023,IT,Marketing Manager,936737.0,10 AM - 6 PM,Part-time,Thomas Nelson,9180760550,Health Insurance
403696,Eric,Gonzalez,1977-08-05,Female,mrodriguez@example.net,+1-753-187-7927x24804,"151 Patrick Mill
Alanchester, VA 95086",Bhutan,01/04/2020,Finance,Developer,6672165.0,8 AM - 4 PM,Part-time,Amanda Mercer,7152932204,Paid Time Off
267565,Susan,Morales,2001-05-15,Male,matthewanderson@example.org,(850)683-8377,"07942 Love Parkway
Port Heidihaven, VA 59903",Iraq,20/12/2017,Marketing,Analyst,4692574.0,9 AM - 5 PM,Consultant,Stephen Larson,5825779670,Paid Time Off
665383,Jennifer,Chen,1972-11-02,Female,rjones@example.org,001-788-026-2271x3456,"9604 Wise Hollow Suite 449
Danielshire, AR 19785",Botswana,11/07/2013,Marketing,Sales Manager,3087032.0,9 AM - 5 PM,Contractor,Sean Brooks,2046729701,Health Insurance
189821,Allison,Villanueva,1988-04-20,Female,slewis@example.org,(905)903-9141,"2063 Bradley Crossing
South Andrewburgh, TX 32019",United Arab Emirates,24/08/2014,Marketing,Manager,7385968.0,8 AM - 4 PM,Part-time,Kristie Crawford,6305100571,Health Insurance
403487,Stacy,Jackson,1989-07-24,Female,cjones@example.com,(434)703-9246,"5337 Angela Overpass Apt. 634
Rachelland, DE 10180",Lesotho,08/06/2014,Human Resources,Supervisor,1509957.0,10 AM - 6 PM,Consultant,Dr. Michael Owens,9226858597,Retirement Plan
768877,John,Perez,1984-11-11,Male,xwilliams@example.org,388-192-6101,"5593 Jones Tunnel
Lake Annaburgh, GU 94459",India,09/06/2014,Human Resources,Marketing Manager,2506396.0,8 AM - 4 PM,Contractor,William Holmes,8799423590,Health Insurance
446540,Melissa,Mitchell,1987-08-07,Male,ssmith@example.net,001-854-444-7418x41069,"Unit 4093 Box 6880
DPO AE 79540",Gambia,01/06/2016,IT,Marketing Manager,5045581.0,9 AM - 5 PM,Contractor,Tracey Fleming,1222822707,Paid Time Off
827902,Kathryn,Estrada,1970-05-13,Female,justinmiller@example.net,(137)702-9021x35525,"5801 Mills Manors
Davidmouth, ME 75444",Liberia,27/12/2019,IT,Marketing Manager,9963377.0,8 AM - 4 PM,Consultant,Sara Bolton,1626519371,Retirement Plan
238192,Michael,Pace,1971-09-20,Female,michael38@example.org,001-507-241-3325x6250,"PSC 5661, Box 0504
APO AE 40442",Nicaragua,15/12/2014,IT,Manager,8495457.0,9 AM - 5 PM,Consultant,Jessica Mays,5897824330,Paid Time Off
886544,Leonard,Woods,2000-05-30,Female,jamesmichael@example.net,(954)695-0920,"8456 Bishop Turnpike
Nancyview, NV 27048",Brazil,10/05/2019,IT,Marketing Manager,5185893.0,9 AM - 5 PM,Contractor,Mrs. Kelly Simmons DDS,2881383526,Retirement Plan
813375,Robert,Velasquez,1995-07-13,Female,zachary65@example.org,125-391-4340,"882 Samantha Rest
Darrellberg, WY 02268",New Zealand,06/05/2014,IT,Marketing Manager,4180515.0,10 AM - 6 PM,Contractor,Jamie Johnson,1366300398,Retirement Plan
776533,Cassidy,Mueller,1987-08-17,Female,mjohnson@example.com,675-845-8008x4882,"84393 Wilson Field
Lake William, MP 54716",Macao,21/01/2016,Marketing,Marketing Manager,2471612.0,10 AM - 6 PM,Full-time,Gary Morton,7976376161,Health Insurance
